Serial Number,Date of entry,Gender,Languages Spoken,Class,Year of Entry,Language with Parents,Language with Siblings,Language with Friends,Language in School,First English at ,Comprehension 1,Comprehension 2,Comprehension 3,Comprehension 4,Comprehension 5,
1,17/02/2023,F,"English, Yoruba",5,2018,"English, Yoruba","English, Yoruba","English, Yoruba",English,At home,1,1,1,1,1,
2,17/02/2023,M,"English, Yoruba, Pidgin English",4,2019,"English, Pidgin English","English, Pidgin English","English, Pidgin English",English,Primary School,1,1,1,1,1,
3,17/02/2023,F,"English, Igbo",5,2018,"English, Igbo","English, Igbo",English,English,At home,1,1,1,1,1,
4,17/02/2023,M,"English, Hausa, Bura",4,2019,"English, Bura",English,English,English,Play group,1,1,1,1,1,
6,17/02/2023,M,"English, Pidgin English, Gbagyi",3,2020,"English, Pidgin English, Gbagyi","English, Pidgin English, Gbagyi","English, Pidgin English, Gbagyi",English,Primary School,1,1,1,0,1,
8,17/02/2023,F,"English, Gbagyi, Hausa",4,2019,"English, Gbagyi, Hausa","Englisn, Gbagyi","English, Gbagyi",English,Play group,1,1,0,1,1,
9,17/02/2023,M,"Yoruba, English",5,2018,Yoruba,Yoruba,,English,Play group,1,1,1,1,1,
10,17/02/2023,F,"English, Yoruba",3,2020,"English, Yoruba","English, Yoruba","English, Yoruba",English,Play group,1,1,1,0,1,
11,17/02/2023,F,"English, Gbagyi",4,2019,"English, Igbo",English ,English,English,At home,1,1,1,1,1,
12,17/02/2023,F,"English, Idoma",3,2020,"English, Idoma",English,English,English,Primary School,1,0,1,0,1,
13,17/02/2023,M,"English, Hausa, Gbagyi",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Play group,1,0,0,0,1,
14,17/02/2023,F,"English, Yoruba",3,2020,"English, Yoruba","English, Yoruba","English, Yoruba",English,At home,1,1,1,1,1,
15,17/02/2023,F,"English, Ijona, Pidgin English",4,2019,"English, Ijona, Pidgin English","English, Pidgin English","English, Pidgin English",English,Primary School,0,1,1,1,1,
16,17/02/2023,F,"English, Yoruba",5,2018,"English, Yoruba","English, Yoruba",English,English,At home,1,1,1,1,1,
17,17/02/2023,F,English,4,2019,English,English,English,English,At home,1,1,1,1,1,
18,17/02/2023,M,"English, Hausa, Bura",3,2020,"English, Hausa, Bura","English, Hausa, Bura","English, Hausa, Bura",English,At home,1,1,0,0,1,
19,17/02/2023,F,"English, Yoruba",3,2020,"English, Yoruba","English, Yoruba",English,English,At home,1,1,1,1,1,
20,17/02/2023,M,"English, Hausa",3,2020,"English, Hausa","English, Hausa","English, Hausa",English,At home,1,1,1,0,1,
21,17/02/2023,M,"English, Yoruba",3,2020,"English, Yoruba","English, Yoruba",English,English,At home,1,1,1,1,0,
22,27/03/2023,M,"English, Hausa",4,2019,English,English,English,English,At home,1,1,1,1,1,
23,27/03/2023,M,English,4,2019,English,English,English,English,At home,1,1,0,1,1,
24,27/03/2023,F,English,4,2019,English,English,English,English,At home,1,1,1,1,1,
25,27/03/2023,M,"English, Yoruba",4,2019,English,English,English,English,At home,1,1,1,1,1,
26,27/03/2023,M,"English, Igbo",3,2020,English,English,English,English,At home,1,1,0,1,1,
27,27/03/2023,F,"English, Tiv",3,2020,English,English,English,English,At home,1,1,0,1,1,
28,27/03/2023,F,"English, Hausa",3,2020,English,English,English,English,At home,1,1,0,1,1,
29,27/03/2023,M,"English, Hausa",3,2020,English,English,English,English,At home,1,1,0,1,1,
30,27/03/2023,F,"English, Yoruba",3,2020,English,English,English,English,At home,1,1,1,1,1,
31,27/03/2023,M,"English, Hausa",3,2020,English,English,English,English,At home,1,1,0,1,1,
32,27/03/2023,F,"English, Igbo",3,2020,English,English,English,English,At home,1,1,0,1,1,
33,27/03/2023,M,"English, Hausa",3,2020,English,English,English,English,At home,1,1,1,1,1,
34,27/03/2023,F,English,3,2020,English,English,English,English,At home,1,1,0,1,1,
35,27/03/2023,F,"English, Igbo",3,2020,English,English,English,English,At home,1,1,1,1,1,
36,27/03/2023,M,"English, Hausa, Tarok ",5,2018,"English, Tarok","English, Tarok","English, Tarok",English,At home,1,1,1,1,1,
37,27/03/2023,M,"English, Akwa Ibom",5,2018,English,English,English,English,At home,1,1,0,1,1,
38,27/03/2023,M,English,5,2018,English,English,English,English,At home,1,1,1,1,1,
39,27/03/2023,M,"English, Igala",5,2018,English,English,English,English,At home,1,1,1,1,1,
40,27/03/2023,M,"English, Amo, Hausa",5,2018,English,English,English,English,At home,1,1,1,1,1,
41,27/03/2023,M,"English, Hausa",3,2020,English,English,English,English,At home,1,1,0,1,1,
42,27/03/2023,F,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,At home,1,1,0,1,1,
43,27/03/2023,F,"English, Yoruba",3,2020,Yoruba,Yoruba,English,English,At home,1,1,0,1,1,
44,27/03/2023,M,"English, Tarok",3,2020,Tarok,Tarok,English,English,Play group,1,1,0,1,1,
45,27/03/2023,M,English,3,2020,English,English,English,English,Primary School,1,1,0,1,1,
46,27/03/2023,F,"English, Tarok",3,2020,Tarok,Tarok,English,English,Play group,1,1,0,1,1,
47,29/03/2023,F,"English, Tiv",4,2020,"Tiv, English","Tiv, English",English,English,Primary School,1,1,1,1,1,
48,29/03/2023,F,"English, Tiv",4,2020,"Tiv, English","Tiv, English",English,English,At home,1,1,1,1,1,
49,29/03/2023,F,"Hausa, Fulfude",4,2020,"Hausa, Fulfude",,"Hausa, Fulfude",Pidgin English,Primary School,1,,0,0,1,
50,29/03/2023,M,"English, Gede, Fulfulde, Hausa",4,2020,"Fulfulde, Hausa","Fulfulde, Hausa","Fulfulde, Hausa",English,At home,1,1,0,1,1,
51,29/03/2023,M,"English, Hausa",4,2020,"English, Hausa","English, Hausa","English, Hausa",English,Primary School,1,1,1,1,1,
52,29/03/2023,F,"English, Hausa",4,2020,"English, Hausa","English, Hausa","English, Hausa",English,Primary School,1,1,1,1,1,
53,29/03/2023,M,"English, Gbagyi",4,2020,"English, Gbagyi", Gbagyi,Gbagyi,English,At home,1,1,1,1,1,
54,29/03/2023,M,"English, Gbagyi, Hausa",4,2020,"English, Hausa","English, Hausa",Hausa,Hausa,Primary School,1,1,1,1,1,
55,29/03/2023,M,"English, Hausa",4,2020,"Hausa, Gbagyi","Hausa, Gbagyi","Hausa, Gbagyi",English,Primary School,1,1,1,1,1,
56,30/03/2023,M,"English, Yoruba",4,2019,"English, Yoruba",English,"English, Yoruba","English, Yoruba",Play group,1,1,0,1,1,
57,30/03/2023,F,"English, Yoruba",4,2019,"English, Yoruba",English,"English, Yoruba","English, Yoruba",At home,1,1,0,1,1,
58,30/03/2023,M,"English, Yoruba",4,2019,English,English,English,English,Play group,1,1,0,1,1,
59,30/03/2023,F,"English, Yoruba",4,2019,Pidgin English,Pidgin English,Pidgin English,Pidgin English,Pre-primary,1,1,0,1,1,
60,30/03/2023,M,"English, Igala",4,2019,English,English,English,English,At home,1,1,0,1,1,
61,29/03/2023,F,"English, Gbagyi",5,2019,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
62,30/03/2023,F,"English, Gbagyi",4,2019,Pidgin English,Pidgin English,Pidgin English,Pidgin English,Primary School,1,1,0,1,1,
63,30/03/2023,M,"English, Fulfulde",4,2019,English,English,English,English,Pre-primary,1,1,0,1,1,
64,30/03/2023,F,"English, Igbo",4,2019,English,English,English,English,Pre-primary,1,1,0,1,1,
65,30/03/2023,F,"English, Igala",4,2019,"English, Igala","English, Igala","English, Igala",English,Pre-primary,1,1,0,1,1,
66,30/03/2023,F,"English, Igbo",4,2019,"English, Igbo","English, Igbo","English, Igbo","English, Igbo",At home,1,1,0,1,1,
67,30/03/2023,M,"English, Ngas",4,2019,Ngas,"English, Ngas",English,English,Primary School,1,1,0,1,1,
68,30/03/2023,F,"English, Yoruba",4,2019,English,English,English,English,At home,1,1,0,1,1,
69,30/03/2023,F,"English, Hausa",4,2019,Hausa,Hausa,Hausa,Hausa,At home,1,1,0,1,1,
70,30/03/2023,F,"English, Mada",4,2019,English,English,English,English,At home,1,1,0,1,1,
71,30/03/2023,F,"English, Cross River",4,2019,Pidgin English,Pidgin English,Pidgin English,English,Pre-primary,1,1,0,1,1,
72,30/03/2023,M,"English, Hausa",4,2019,Hausa,Hausa,Hausa,Hausa,Pre-primary,1,1,0,1,1,
73,30/03/2023,F,"English, Bassa",4,2019,Pidgin English,Pidgin English,Pidgin English,English,At home,1,1,0,1,1,
74,30/03/2023,M,"English, Yoruba",4,2019,English,English,English,English,Play group,1,1,0,1,1,
75,30/03/2023,M,"English, Eggon",4,2019,Pidgin English,Pidgin English,Pidgin English,English,At home,1,1,0,1,1,
76,30/03/2023,M,"English, Idoma",4,2019,Pidgin English,Pidgin English,Pidgin English,English,At home,1,1,0,1,1,
77,30/03/2023,M,"English, Igon",4,2019,Igon,Igon,Igon,Pidgin English,Primary School,1,1,0,1,1,
78,30/03/2023,M,"Englis, Jabba , Hausa ",5,2019,"Hausa, Jabba","Hausa, Jabba",English,English,Pre-primary,1,1,0,1,1,
79,30/03/2023,F,"English, Yoruba",5,2019,Yoruba,Yoruba,English,English,At home,1,1,1,1,1,
80,30/03/2023,F,"English, Kilber",5,2019,Kilber,Kilber,English,English,At home,1,1,1,1,1,
81,30/03/2023,M,"English, Igbo",5,2019,"English, Igbo","English, Igbo",English,English,At home,1,1,0,1,1,
82,30/03/2023,F,"English, Igbo",5,2019,"English, Igbo","English, Igbo",English,English,At home,1,1,1,1,1,
83,30/03/2023,F,"English, Yoruba",5,2019,Yoruba,Yoruba,English,English,At home,1,1,1,1,1,
84,30/03/2023,M,"English, Hausa, Tiv",5,2019,Tiv,Tiv,Hausa,English,At home,1,1,0,1,1,
85,30/03/2023,F,"English, Igede",5,2019,Igede,Igede,English,English,At home,1,1,0,1,1,
86,30/03/2023,F,"English, Yoruba",5,2019,Yoruba,Yoruba,English,English,Primary School,1,1,0,1,1,
87,30/03/2023,F,"English, Hausa",5,2019,Hausa,Hausa,English,English,Pre-primary,1,1,0,1,1,
88,30/03/2023,F,"English, Igbo",5,2019,"English, Igbo","English, Igbo",English,English,Pre-primary,1,1,1,1,1,
89,30/03/2023,F,"English, Igbo",5,2019,"English, Igbo","English, Igbo",English,English,Play group,1,1,0,1,1,
90,30/03/2023,M,"English, Igbo",5,2019,"English, Igbo","English, Igbo",English,English,Pre-primary,1,1,0,1,1,
91,30/03/2023,M,"English, Igala",5,2019,Igala,Igala,English,English,Pre-primary,1,1,0,1,1,
92,30/03/2023,F,"English, Hausa, Idoma",5,2019,Idoma,Idoma,Idoma,English,At home,1,1,1,1,1,
93,30/03/2023,M,"English, Yoruba",5,2019,Yoruba,Yoruba,English,English,At home,1,1,0,1,1,
94,30/03/2023,F,"English, Yoruba",5,2019,Yoruba,Yoruba,English,English,Pre-primary,1,1,0,1,1,
95,30/03/2023,M,"English, Hausa",4,2019,Hausa,English,English,English,Pre-primary,1,1,0,1,1,
96,30/03/2023,M,"English, Hausa, Tiv",5,2019,"English, Hausa","English, Hausa",English,English,Primary School,1,1,1,1,1,
97,30/03/2023,F,"English, Igala",4,2019,English,English,English,English,Play group,1,1,0,1,1,
98,30/03/2023,F,"English, Igbo",4,2019,Pidgin English,English,Pidgin English,English,Pre-primary,1,1,0,1,1,
99,30/03/2023,F,"English, Igede",4,2019,English,English,English,English,Play group,1,1,0,1,1,
100,30/03/2023,F,"English, Tiv",4,2019,English,English,English,English,Play group,1,1,0,1,1,
101,2023-07-03,M,"Gbagyi, English",4,2019,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,0,1,
102,2023-07-03,F,"Gbagyi, English",4,2019,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,0,1,
103,2023-07-03,F,"Gbagyi, English",4,2019,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,0,1,
104,2023-07-03,M,"Gbagyi, English",4,2019,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,0,1,
105,2023-07-03,F,"Gbagyi, English",4,2019,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,0,1,
106,2023-07-03,M,"Gbagyi, English",4,2019,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,0,1,
107,2023-07-03,M,"Tiv, Gbagyi",5,2018,Tiv,Tiv,Tiv,English,Primary School,1,1,0,1,1,
108,2023-07-03,M,"English, Bassa",5,2018,Bassa,Bassa ,Bassa ,English,Primary School,1,1,1,1,1,
109,2023-07-03,M,"Gbagyi, English",5,2018,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
110,2023-07-03,F,"Gbagyi, English",5,2019,Gbagyi,Gbagyi,Gbagyi,English,Primary School,0,1,1,0,1,
111,2023-07-03,F,"Gbagyi, English",5,2018,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,0,1,
112,2023-07-03,F,"Gbagyi, English",5,2018,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
113,2023-07-03,M,"Gbagyi, English",5,2018,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
114,2023-07-03,M,"Gbagyi, English",5,2018,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
115,2023-07-03,M,"English, Bassa",5,2018,Bassa,Bassa ,English,English,Primary School,1,1,1,1,1,
116,2023-07-03,M,"Gbagyi, English",6,2017,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,0,0,1,
117,2023-07-03,F,"Gbagyi, English",6,2017,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
118,2023-07-03,F,"Gbagyi, English",6,2017,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
119,2023-07-03,M,"Gbagyi, English",6,2017,Gbagyi,Gbagyi,Gbagyi,English,Primary School,0,1,0,1,1,
120,2023-07-03,M,"Gbagyi, English",6,2017,Gbagyi,Gbagyi,Gbagyi,English,Primary School,0,1,0,1,1,
121,2023-07-03,F,"Gbagyi, English",6,2017,Gbagyi,Gbagyi,Gbagyi,English,Play group,1,0,0,0,1,
122,2023-07-03,F,"Gbagyi, English",6,2017,Gbagyi,Gbagyi,Gbagyi,English,Primary School,0,1,1,1,0,
123,2023-07-03,M,"Gbagyi, English",6,2017,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
124,2023-07-03,F,"Bassa, Gbagyi, English",3,2020,Bassa ,Bassa ,Bassa ,English,Primary School,1,1,1,1,1,
125,2023-07-03,F,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
126,2023-07-03,F,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
127,2023-07-03,M,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
128,2023-07-03,M,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
129,2023-07-03,F,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
130,2023-07-03,M,"English, Bassa",3,2020,Bassa ,Bassa ,Bassa ,English,Primary School,1,1,1,1,1,
131,2023-07-03,M,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
132,2023-07-03,M,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
133,2023-07-03,F,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
134,2023-07-03,F,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
135,2023-07-03,F,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
136,2023-07-03,M,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
137,2023-07-03,M,"English, Hausa",3,2020,Hausa,Hausa,Hausa,English,Primary School,1,1,1,1,1,
138,2023-07-03,F,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
139,2023-07-03,M,"Gbagyi, English",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
140,2023-07-03,M,"English, Hausa, Fulani",5,2018,Fulani,"Hausa, Fulani",Hausa,English,Primary School,1,1,1,1,1,
141,24/03/2023,M,"English, Tiv",4,2019,Tiv,Tiv,English,English,Pre-primary,1,1,1,1,1,
142,24/03/2023,F,"English, Gbagyi",4,2019,Gbagyi,Gbagyi,English,English,Pre-primary,1,1,1,1,1,
143,24/03/2023,F,"English, Tiv",5,2018,Tiv,Tiv,English,English,Pre-primary,1,1,1,1,1,
144,24/03/2023,F,"English, Tiv",5,2018,Tiv,Tiv,English,English,Pre-primary,1,1,1,1,0,
145,24/03/2023,M,"English, Tiv",6,2017,Tiv,Tiv,English,English,Primary School,1,1,1,1,1,
146,24/03/2023,M,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,Primary School,1,1,1,0,1,
147,24/03/2023,F,"English, Gbagyi",4,2019,Gbagyi,Gbagyi,English,English,Primary School,1,1,1,1,1,
148,24/03/2023,M,"English, Gbagyi",6,2017,Gbagyi,Gbagyi,English,English,Pre-primary,1,1,1,1,1,
149,24/03/2023,M,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,Pre-primary,1,1,1,1,1,
150,2023-07-03,F,"Gbagyi, English",5,2018,Gbagyi,Gbagyi,Gbagyi,English,Primary School,1,1,1,1,1,
151,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
152,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
153,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
154,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
155,28/03/2023,M,"English, Yoruba",6,2017,"English, Yoruba",,"English, Yoruba",,At home,1,1,1,1,1,
156,28/03/2023,M,"English, Yoruba",6,2017,"English, Yoruba",,"English, Yoruba",,At home,1,1,1,1,1,
157,28/03/2023,F,"English, Yoruba",6,2017,"English, Yoruba",,"English, Yoruba",,At home,1,1,1,1,1,
158,28/03/2023,F,"English, Yoruba",6,2017,"English, Yoruba",,"English, Yoruba",,At home,1,1,1,1,1,
159,28/03/2023,F,"English, Yoruba",6,2017,"English, Yoruba",,"English, Yoruba",,At home,1,1,1,1,1,
160,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
161,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
162,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
163,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
164,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
165,28/03/2023,M,English,3,2020,English,English,English,English,Play group,1,1,1,1,1,
166,28/03/2023,M,English,6,2017,English,English,English,English,Play group,1,1,1,1,1,
167,28/03/2023,F,English,3,2020,English,English,English,English,Play group,1,1,1,1,1,
168,28/03/2023,F,English,3,2020,English,English,English,English,Play group,1,1,1,1,1,
169,28/03/2023,F,"English, Gbagyi",6,2017,"English, Yoruba",English,English,English,Play group,1,1,1,1,1,
170,28/03/2023,F,English,6,2017,English,English,English,English,Pre-primary,1,1,1,1,1,
171,28/03/2023,F,English,6,2017,English,English,English,English,Pre-primary,1,1,1,1,1,
172,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
173,28/03/2023,F,English,6,2017,English,English,English,English,Pre-primary,1,1,1,1,1,
174,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
175,28/03/2023,M,English,5,2018,English,English,English,English,Primary School,1,1,1,1,1,
176,28/03/2023,M,English,5,2018,English,English,English,English,Primary School,1,1,1,1,1,
177,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
178,28/03/2023,F,English,5,2018,English,English,English,English,Primary School,1,1,1,1,1,
179,28/03/2023,F,English,5,2018,English,English,English,English,Primary School,1,1,1,1,1,
180,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
181,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
182,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
183,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
184,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
185,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
186,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
187,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
188,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
189,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
190,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
191,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
192,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
193,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
194,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
195,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
196,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
197,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
198,28/03/2023,M,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
199,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
200,28/03/2023,F,English,6,2017,English,English,English,English,Primary School,1,1,1,1,1,
202,,M,"English, Gbagyi",4,2020,English,English,English,English,Pre-primary,1,1,0,0,1,
203,23-01-2023,F,"Gbagyi,Hausa,Mada, English",4,2020,"English, Mada","Mada, Hausa","English, Hausa",English,Pre-primary,1,1,0,0,1,
204,,M,"English, Gbagyi, Hausa",4,2020,English,English,English,English,Pre-primary,1,1,0,0,1,
205,,F,,4,2020,English,Pidgin English,Pidgin English,English,Pre-primary,1,1,0,0,1,
206,23-01-2023,F,"English,Gbagyi,Hausa,Gade",4,2020,English,Pidgin English,Pidgin English,English,Pre-primary,1,0,0,0,1,
207,23-01-2023,M,"Gbagyi,English,Hausa, Gade",4,2020,"English,Hausa,Pidgin ,Gade, Tiv","Hausa, Hausa","Gade,Hausa, ",English,Pre-primary,1,0,0,0,1,
208,23-01-2023,F,"English, Gbagyi",4,2020,English,English,Pidgin English,English,Pre-primary,1,1,0,0,1,
209,23-01-2023,F,"English,Gbagyi,Hausa, Mada",4,2020,"english,Mada, Hausa","Mada,Gade, Hausa","English, Mada",English,Pre-primary,1,0,0,0,1,
210,23-01-2023,M,"Hausa,Gbagyi, English",4,2020,"English,Hausa,Gbagyi",Pidgin English,"English, Hausa",English,Pre-primary,1,1,0,0,1,
211,23-02-2023,M,"English,Gbagyi, Hausa",4,2020,"Gbagyi, Hausa","English, Gbagyi","English, Hausa",English,Pre-primary,0,1,0,0,1,
212,,M,"English,Gbagyi, Mada",4,2020,English,English,English,English,Pre-primary,1,1,0,0,1,
213,23-01-2023,F,English,4,2019,"English, Hausa","English, Hausa","English, Hausa",English,Pre-primary,1,1,1,0,1,
214,23-01-2023,M,"English, Gade",4,2019,"English,Gade, Hausa","Gade,Hausa, English","English, Hausa",English,Pre-primary,1,1,1,0,1,
215,23-01-2023,M,"Gade, English",4,2020,"Gade,Hausa, English","Gade,Hausa, English","English, Hausa",English,Pre-primary,1,1,1,0,1,
216,,M,"English,Gbagyi, Tiv",4,2020,"English,Hausa, Tiv","English,Hausa, Tiv","English,Hausa, Tiv",English,Pre-primary,1,1,1,0,1,
217,23-01-2023,F,"Gbagyi,Hausa, English",4,2020,"Gbagyi,Hausa,English","English, Hausa","English, Hausa",English,Pre-primary,1,1,1,0,1,
218,23-01-2023,M,Tiv,3,2019,Pidgin English,English,Hausa,English,Primary School,1,1,0,0,1,
219,23-01-2023,M,Hausa,3,2019,Hausa,English,Pidgin English,English,Primary School,1,1,0,0,1,
220,23-01-2023,M,Gade,3,2020,Pidgin English,English,Hausa,English,Primary School,0,,0,0,1,
221,23-01-2023,M,Gbagyi,3,2020,,English,English,English,,,,,,,
223,23-01-2023,F,Tiv,3,2020,Pidgin English,English,Hausa,English,Primary School,0,,0,0,1,
224,23-01-2023,F,Gbagyi,3,2020,Pidgin English,English,Hausa,English,Primary School,0,,0,0,1,
225,23-01-2023,M,Gbagyi  ,2,,Gbagyi,English,English,English,Playgroup,1,1,0,0,1,
226,23-01-2023,F,Gade,3,2020,Pidgin English,English,Hausa,English,Primary School,0,0,0,0,1,
227,23-01-2023,F,Tiv,2,,Mada,English,English,English,Pre-primary,1,1,0,0,1,
228,23-01-2023,F,Tiv   ,2,,Tiv,English   ,English,English,Pre-primary,1,1,0,0,1,
229,23-01-2023,F,Tiv,2,,Tiv,English,English,English,Primary School,1,1,0,0,1,
230,2023-10-02,F,"English, Hausa, Ebira",3,2020,English,English,English,English,Play group,1,1,0,1,1,
230,23-01-2023,F,,2,,Gbagyi,English,English,English,Primary School,1,1,0,0,1,
231,23-01-2023,F,"Gbagyi, Hausa",5,2019,"English, Hausa","English, Hausa","English, Hausa",English,Primary School,1,1,1,1,1,
232,23-01-23,F,"English, Hausa",5,2019,"English, Hausa","English, Hausa","English, Hausa",English,Primary School,1,1,1,1,1,
233,23-01-2023,M,"English, Hausa",5,2019,"English, Hausa","English, Hausa","English, Hausa",English,Primary School,1,1,1,1,1,
235,23-01-2023,M,Mada,2,,Mada,English ,English,English,Primary School,1,1,0,0,1,
236,23-01-2023,M,Mada,2,,Mada,Mada,"English, Hausa",English,Primary School,1,1,0,0,1,
237,23-01-2023,M,"Gbagyi, Hausa",2,,Gbagyi,"English, Hausa",English ,English,Pre-primary,1,1,0,0,1,
238,23-01-2023,F,Gbaagyi,2,,Gbagyi,English,English,English,Primary School,1,1,0,0,1,
239,23-01-2023,M,Gbagyi,2,,Gbagyi,English,English,English,Primary School,1,1,0,0,1,
240,23-01-2023,M,Gbagyi,2,,Gbagyi,English,English,English,Playgroup,1,1,0,0,0,
241,23-01-2023,F,Tiv,2,,,English,English,English,Primary School,1,1,0,0,1,
242,23-01-2023,M,Gbagyi,2,,Gbagyi,English,English,English,Primary School,1,1,0,0,1,
243,23-01-2023,F,Gbagyi,2,,Gbagyi,English,English,English,Primary School,1,1,0,0,1,
244,23-01-2023,M,Tiv,2,,Tiv,English,English,English,Primary School,1,1,0,0,1,
245,23-01-2023,F,Tiv,2,,Tiv,English,English,English,Primary School,1,1,0,0,1,
246,23-01-2023,F,Gbagyi,2,,Gbagyi,English,English,English,Primary School,1,1,0,0,1,
247,23-01-2023,M,Gbagyi,2,,Gbagyi,English,English,English,Primary School,1,1,0,0,1,
248,23-01-2023,M,Gbagyi,2,,Gbagyi,English,English,English,Primary School,1,1,0,0,1,
249,23-01-2023,M,Gbagyi,2,,English  ,English,English,English,Playgroup,1,1,0,0,1,
250,23-01-2023,M,Tiv,2,,"English, Hausa",English   ,English,English,Playgroup,1,1,0,0,1,
251,23-01-2023,F,"English, Gbagyi",3,2019,"English, Gbagyi","English, Hausa","English, Hausa",English,Primary School,1,1,1,0,0,
