Serial Number,Date of entry,Gender,Languages Spoken,Class,Year of Entry,Language with Parents,Language with Siblings,Language with Friends,Language in School,First English at ,Comprehension 1,Comprehension 2,Comprehension 3,Comprehension 4,Comprehension 5,
0704,26-01-2023,F,"English, Igbo",2,2022,"English, Ibo",English,English,English,Playgroup,1,1,1,1,1,
0705,26-01-2023,F,"English, Gbagyi",2,2022,"English, Gbagyi","English, Gbagyi",English,English,Playgroup,1,1,1,1,1,
0706,26-01-2023,F,"English, Edo",2,2022,"English, Edo","English, Pidgin English",English,English,Playgroup,1,1,1,1,1,
0707,26-01-2023,F,Ebira,3,2017,Ebira,Ebira,English,English,At home,1,1,1,1,1,
0708,26-01-2023,F,Igala,3,2017,Igala,English,English,English,At home,1,1,1,1,1,
0709,26-01-2011,M,Awo,3,2017,Awo,English,English,English,At home,1,1,1,1,1,
0710,26-01-2023,M,Tiv,3,2017,Tiv,Tiv,English,English,At home,1,1,1,1,1,
0711,26-01-2023,M,Tiv,3,2017,Tiv,Tiv,English,English,At home,1,1,1,1,1,
0712,26-01-2023,F,Igbo,3,2017,Ibo,English,English,English,At home,1,1,1,1,1,
0713,26-01-2023,F,Efik,6,2018,Efik,Efik,Pidgin English,English,Pre-primary,1,1,1,1,1,
0714,26-01-2023,M,Gbagyi,4,2017,Gbagyi,Gbagyi,Gbagyi,English,Pre-primary,1,1,1,1,1,
0715,26-01-2023,F,"Yoruba, English",4,2017,Yoruba,Yoruba.,English,English,Pre-primary,1,1,1,1,1,
